Links,Locality,Price,Beds,Property Type,Baths,Description,Garden,Yard,Terrace,Lift,Pool,Roof Access,Seafront,Views,Garage,Optional Garage,Airspace,Optional Airspace,Furnished,Finished
https://www.propertymarket.com.mt/view/2-bedroom-town-house-for-sale-attard-4122532301898828845,Attard,349000,2,Town House,2,"BIRKIRKARA – Located in a UCA area, yet in a quiet street, close to all amenities, comes this fully converted and highly finished townhouse, featuring two double bedrooms and it”s own private roof and airspace. The layout comprises of a welcoming entrance hall, leading to a fully equipped Kitchen/Dining/Living area, Box Room, Main Bathroom and two Double Bedrooms (Main with En-suite). Further complimenting this property is a large washroom at roof level and a large roof terrace ideal for entertainment. Property is freehold and will be sold furnished.Ref: RC-861952 Size: 105sqm Bathrooms: 2",0,0,1,0,0,1,0,0,0,0,1,0,1,0
https://www.propertymarket.com.mt/view/2-bedroom-apartment-for-sale-marsascala-4122532301898828846,Marsascala,300000,2,Apartment,2,"A 2 Bedroom second floor Apartment, with permits in hand to be altered into a 3 Bedroom Apartment. Property enjoys lovely sea views and is in one of the best streets in Marsascala. This apartment has great potential both as a home as well as a rental investment. Enter into a Large Kitchen / Living / Dining with a nice Island in the Kitchen. The open plan leads out onto a front Balcony with incredible Sea Views, which also gives the apartment a lot of Natural light. Through a corridor one will find a Large Main Bathroom and 2 Bedrooms. The Main Bedroom also has an En-suite / Walk-in Wardrobe. This Apartment also comes with permits in hand to enlarge the open plan. For more information please contact the assigned Sales AgentRef: SA458395 Size: 107sqm Bathrooms: 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.propertymarket.com.mt/view/2-bedroom-maisonette-for-sale-san-gwann-4122532301898828775,San Gwann,330000,2,Maisonette,2,"Situated on the outskirts of San Gwann and few minutes away by car from St. Julians and Swieqi is this older-type ground floor maisonette converted to high modern standards. The property layout comprises of a welcoming living room leading to the kitchen, the dining room overlooking an internal yard, two bedrooms (main with en suite), main bathroom and a backyard. Freehold. Plot area is 133m².Ref: BSGFM178580 Size: 133sqm Bathrooms: 2",0,1,0,0,0,0,0,0,0,0,0,0,0,0
https://www.propertymarket.com.mt/view/3-bedroom-apartment-for-sale-balzan-4122532301898828850,Balzan,425000,3,Apartment,2,"A very well located modern three bedroom 180 SQM Apartment on the first floor in a new small block. Highly finished unit, comprising of an open plan kitchen / living / dining, 3 Bedrooms (main with en-suite), main bathroom, box room, with 24 SQM external area and optional underlying car space. Property is fully finished and includes installed bathrooms and internal doors.Ref: SA458263 Size: 156sqm Bathrooms: 2",0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://www.propertymarket.com.mt/view/2-bedroom-town-house-for-sale-zebbug-4122532301898828781,Zebbug,370000,2,Town House,2,"A two bedroom townhouse just minutes walk away from the main square of this much sought after village. Current property layout comprises of an entrance hall leading to a kitchen, dining area, two bedrooms, a bright and airy central court yard and a bathroom at ground floor level. On the first floor is a good size washroom and full roof and airspace. Also complimenting this property is a very good size cellar. This townhouse can be further developed into a three bedroom townhouse with ample space for a growing family. Freehold.Ref: BSTWC178378 Size: 120sqm Bathrooms: 2",0,1,0,0,0,1,0,0,0,0,1,0,0,0
https://www.propertymarket.com.mt/view/3-bedroom-apartment-for-sale-zebbug-4122532301898828866,Zebbug,300000,3,Apartment,2,"Appointed as Exclusive Representatives on this well positioned 3 bedroom Apartment having a total footprint of approx. 148 square meters in Zebbug This property, with a spacious living area, is being built to a very high standard excluding Bathrooms and doors, however the latter could be done at a very good price. The area is very central and quiet and highly recommended for first time buyers or for rental investment due to the central location they are in. Accommodation comprises of: Front and Back Balconies Large open plan Kitchen / Living / Dining Bathroom 3 Double Bedrooms En-suite Choice of Optional Garages Freehold For further details, kindly contact the assigned Certified Sales AgentRef: W-02O1IM Size: 138sqm Bathrooms: 2",0,0,0,0,0,0,0,0,0,1,0,0,0,0
https://www.propertymarket.com.mt/view/2-bedroom-penthouse-for-sale-sliema-4122532301898828880,Sliema,550000,2,Penthouse,2,"A brand new, freehold 2-bedroom duplex PENTHOUSE, located within walking distance of the seafront and all amenities, is now available for sale. The property boasts an open plan kitchen/ living/ dining, two bedrooms, two bathrooms (one en suite), a large entertainment indoor area on the upper floor level, and a large outdoor space ideal for entertaining, with impressive side views of the Sliema harbour and of Valletta. To be sold finished, excluding bathrooms and internal doors. The completion date of the project is estimated by June 2022. Ref 23674  For viewings, please contact Zoli on +356 79771023 or email zoli@bre.com.mt  #bernardsrealestate #realestate #forsale #property #malta #sliema #penthouse #home #seaviews #modern   Ref: 23674 Bathrooms: 2",0,0,0,0,0,0,1,1,0,0,0,0,0,1
https://www.propertymarket.com.mt/view/3-bedroom-penthouse-for-sale-naxxar-4122532301898828897,Naxxar,500000,3,Penthouse,2,"NAXXAR - A larger than usual 4th Floor Penthouse enjoying dazzling views and situated in this Residential block of 16 units. The Property comprises of an open plan kitchen/living/dining area, 3 bedrooms, 2 bathrooms, box room, walk-in wardrobe and a terrace. Perpetual Ground Rent of €116. Double Glazing PVC Apertures. Finished excluding bathrooms and doors. Optional Car Garages at Basement Level.Ref: SS4C23636 Size: 132sqm Bathrooms: 2",0,0,1,0,0,0,0,0,0,1,0,0,0,1
https://www.propertymarket.com.mt/view/3-bedroom-apartment-for-sale-rabat-4122532301898828922,Rabat,327000,3,Apartment,2,"Third-floor apartment marked as A3 forming part of a new block in Rabat which only consists of just four apartments. The block is located in the vicinity of St. Agatha Ground and only 10 minutes walking distance to Mdina. All apartments will be delivered fully finished including bathrooms and doors. Completion Date: June 2024 Prices starting from €307,000Ref: SS1C38042 Size: 129sqm Bathrooms: 2",0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://www.propertymarket.com.mt/view/3-bedroom-maisonette-for-sale-swieqi-4122532301898828895,Swieqi,650000,3,Maisonette,2,"SWIEQI - A Ground Floor Maisonette situated in a residential block of 13 units, comprising of an open plan kitchen/living/dining area, 3 bedrooms, 2 bathrooms, terrace and a small internal yard. Being sold in Shell Form. Boasting the Property is a 2 private car garage at semi basement level with games room and pool area.Ref: SS12C23640 Size: 274sqm Bathrooms: 2",0,1,1,0,1,0,0,0,1,0,0,0,0,0
https://www.propertymarket.com.mt/view/2-bedroom-apartment-for-sale-naxxar-4122532301898828898,Naxxar,265000,2,Apartment,2,"NAXXAR - A larger than usual 3rd Floor Apartment situated in this Residential Block of 16 units, comprising of an open plan kitchen/living/dining area, 2 bedrooms, 2 bathrooms and a terrace. Perpetual Ground Rent of €116. Double Glazing PVC Apertures. Finished excluding bathrooms and doors. Optional Car Garages at Basement Level.Ref: SS6C23634 Size: 89sqm Bathrooms: 2",0,0,1,0,0,0,0,0,0,1,0,0,0,1
https://www.propertymarket.com.mt/view/3-bedroom-apartment-for-sale-marsascala-4122532301898828908,Marsascala,275000,3,Apartment,2,Apartment marked as A11 forming part of an already-built block in Marsascala located in one of the best areas between St. Thomas Bay and the center of this town where all the restaurants & bars reside. All apartments will be sold highly finished including bathrooms & doors. Common areas will also be highly finished with lift access to all apartments from ground floor level. Don't miss this opportunity its ideal for both first-time buyers and investors (long let and even short lets). Finishes also include:Double glazed PVC aperturesBathroomsInternal doorsHigh quality large format tilesBlock is already built in shell form and its in the final stages of finishesRef: SS1C38011 Size: 132sqm Bathrooms: 2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
https://www.propertymarket.com.mt/view/3-bedroom-apartment-for-sale-birkirkara-4122532301898828891,Birkirkara,318000,3,Apartment,3,"BIRKIRKARA - A 2nd Floor squarish layout Apartment set in a block of only 5 units situated in a quiet and nice location close to amenities and shops. The Property comprises of an open plan kitchen/living/dining area, 3 bedrooms, 3 bathrooms, wash room, front/back terraces and own airspace. Being sold Fully Furnished.Ref: SS6C23651 Bathrooms: 3",0,0,1,0,0,0,0,0,0,0,1,0,1,0
https://www.propertymarket.com.mt/view/1-bedroom-apartment-for-sale-sliema-4122532301898828885,Sliema,240000,1,Apartment,1,"A choice of brand new 1-bedroom APARTMENTS for sale in the heart of Sliema, close to all amenities. The units measure approximately 57 sqm and comprise an open plan kitchen/living/dining, 1 bedroom, main bathroom and both front and back balconies. To be sold freehold and finished including internal doors and bathroom. Good rental investment! Ref 24482 For viewings, please contact Audrey on +356 99725288 or email audrey@bre.com.mt #bernardsrealestate #realestate #forsale #property #malta #sliema #apartment #home #brandnew #balconies Ref: 24482 Size: 57sqm Bathrooms: 1",0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://www.propertymarket.com.mt/view/3-bedroom-penthouse-for-sale-marsascala-4122532301898828903,Marsascala,375000,3,Penthouse,2,Penthouse marked as PH14 forming part of an already-built block in Marsascala located in one of the best areas between St. Thomas Bay and the center of this town where all the restaurants & bars reside. All apartments will be sold highly finished including bathrooms & doors. Common areas will also be highly finished with lift access to all apartments from ground floor level. Don't miss this opportunity its ideal for both first-time buyers and investors (long let and even short lets). Finishes also include:Double glazed PVC aperturesBathroomsInternal doorsHigh quality large format tilesBlock is already built in shell form and its in the final stages of finishesRef: SS7C38013 Size: 116sqm Bathrooms: 2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
https://www.propertymarket.com.mt/view/3-bedroom-apartment-for-sale-balzan-4122532301898828905,Balzan,365000,3,Apartment,2,"Apartment marked as A2 in a new smart block of just five apartments, located in one of the best areas in Balzan Construction on this project started and is to be ready in shell form by September 2023, targeted to be delivered fully finished by June 2024 This project will be finished to very high standards. Finishes will also include:Double glazed PVC aperturesBathroomsInternal doorsAir conditioning unitsGypsum soffitsLED lightingHigh quality large format tilesRef: SS1C37967 Size: 120sqm Bathrooms: 2",0,0,0,0,0,0,0,0,0,0,0,0,0,1
